model,rated_power_w,rated_speed_rpm,mechanical_time_constant_ms,torque_constant_nm_a,rated_torque_nm,source
FMK02509-0004-5511-7DP02,36,5500,0.576,0.041,0.063,WebSearch
FMK03807-0005-3518N-7DP02,50,3500,0.95,0.089,0.135,WebSearch
FMK04311-0008-3725N-7DP02,77,3700,0.068,0.099,0.2,WebSearch
FMK05008-0016-5030N-10DP02,157,5000,0.61,0.089,0.3,WebSearch
FMK06018-0020-2028N-10DP02,209,2000,0.51,0.172,1.0,WebSearch
FMK06018-0026-3628N-10DP02,264,3600,1.91,0.103,0.7,WebSearch
FMK07011-0025-3642N-10DP02,252,3650,0.48,0.116,0.66,WebSearch
FMK08513-0037-2952N-10DP02,370,2950,1.1,0.14,1.2,WebSearch
FMK08523-0073-3542N-10DP02,732,3500,1.02,0.134,2.0,WebSearch
FMK11525-0117-3260N-10DP02,1173,3200,1.15,0.127,3.5,WebSearch
